datetime_next15,actual_next15_kW,pred_baseline_kW,pred_model_kW
2025-04-30 12:30:00+05:00,948.0,905.6005076124227,944.01
2025-06-28 07:30:00+05:00,151.0,131.52302304429327,149.94333333333333
2025-03-31 16:45:00+05:00,155.0,202.8505916111214,147.30333333333334
2025-10-04 11:30:00+05:00,494.0,478.25425913304105,424.9266666666667
2025-01-26 13:30:00+05:00,707.0,727.9007491169393,701.4033333333333
2025-08-18 15:30:00+05:00,305.0,523.8246501618478,460.83
2025-04-18 08:45:00+05:00,578.0,521.8433288127694,576.29
2025-02-02 17:00:00+05:00,74.0,118.64443427528265,73.88333333333334
2025-09-28 07:45:00+05:00,187.0,167.18680732770733,188.40666666666667
2025-02-19 13:30:00+05:00,756.0,777.4337828439034,753.8733333333333
2025-09-04 15:15:00+05:00,361.0,305.87930176320646,284.47333333333336
2025-08-21 12:45:00+05:00,396.0,381.16951302819166,301.46666666666664
2025-02-27 09:30:00+05:00,665.0,616.9467535685401,659.2
2025-03-21 10:30:00+05:00,792.0,757.6205693531178,791.3066666666666
2025-03-09 15:15:00+05:00,516.0,567.4137198415763,516.42
2025-05-25 16:15:00+05:00,313.0,318.75789053221706,300.69
2025-07-19 11:00:00+05:00,733.0,692.2369648335255,685.3766666666667
2025-07-02 10:00:00+05:00,391.0,371.2629062827989,384.33666666666664
